Points_0,Points_1,Points_2,U_0,U_1,U_2
0.024823,0.00912611,-0.00771923,0.108554,-0.0616488,0.0877585
0.0243069,0.00862374,-0.00771923,0.106212,-0.0905808,0.0830984
0.0242937,0.00812951,-0.00771923,0.0798245,-0.0824937,0.0745373
0.023787,0.00762978,-0.00771923,0.080985,-0.101506,0.0703827
0.0232942,0.00711754,-0.00771923,0.0649156,-0.0996381,0.0680118
0.0136737,0.0192581,-0.00771923,-0.0490275,0.0186038,0.0886468
0.0131498,0.0187696,-0.00771923,-0.0606956,0.0177374,0.0850172
0.012641,0.0182657,-0.00771923,-0.0755745,0.0186839,0.0776825
0.0253056,0.0101509,-0.00771923,0.115315,-0.0272374,0.0915725
0.0252996,0.00965454,-0.00771923,0.102651,-0.0369038,0.0872874
0.0157061,0.0202437,-0.00771923,-0.0536628,0.0462437,0.0921007
0.0152106,0.0202384,-0.00771923,-0.0436197,0.0342486,0.0904235
0.0162031,0.0202487,-0.00771923,-0.0492748,0.0641886,0.0996965
0.0167419,0.0207284,-0.00771923,-0.0280409,0.0637233,0.100457
0.0147007,0.0197388,-0.00771923,-0.0512187,0.0306518,0.0893457
0.0141999,0.0197387,-0.00771923,-0.0408617,0.0225459,0.092309
0.0152256,0.00867211,-0.00771923,-0.111973,-0.139197,0.190895
0.014723,0.00866928,-0.00771923,-0.132235,-0.115226,0.178203
0.0152286,0.00917559,-0.00771923,-0.130947,-0.115934,0.207049
0.0147269,0.00917402,-0.00771923,-0.155243,-0.0939956,0.19044
0.0152176,0.00766326,-0.00771923,-0.0743077,-0.173712,0.149045
0.0147082,0.00765312,-0.00771923,-0.0882802,-0.148645,0.146189
0.0152216,0.00816768,-0.00771923,-0.0935681,-0.158724,0.171856
0.0147168,0.00816213,-0.00771923,-0.109966,-0.133354,0.163432
0.0212476,0.00766326,-0.00771923,0.0968682,-0.216211,0.0957613
0.0207411,0.00767025,-0.00771923,0.0931664,-0.229079,0.0997583
0.0212436,0.00816768,-0.00771923,0.104977,-0.212348,0.119156
0.0207393,0.00817253,-0.00771923,0.0990715,-0.223851,0.124123
0.0132141,0.00966578,-0.00771923,-0.198359,-0.0113423,0.114754
0.0127048,0.00965888,-0.00771923,-0.188976,0.00332608,0.102514
0.0132187,0.0101698,-0.00771923,-0.215158,7.71086e-05,0.113075
0.0127124,0.0101663,-0.00771923,-0.20649,0.0136323,0.0994368
0.0182325,0.0196843,-0.00771923,0.0394753,0.116523,0.129858
0.0187356,0.0196867,-0.00771923,0.0656127,0.110565,0.118718
0.0182326,0.019184,-0.00771923,0.0449488,0.127693,0.137343
0.018736,0.0191857,-0.00771923,0.0747921,0.122328,0.122425
0.0182322,0.020191,-0.00771923,0.0321846,0.100739,0.118314
0.0187315,0.0201931,-0.00771923,0.0539241,0.0951545,0.111147
0.0192354,0.0202024,-0.00771923,0.0693518,0.0851465,0.104956
0.0197498,0.0202274,-0.00771923,0.0809009,0.0711803,0.0975647
0.02125,0.0192087,-0.00771923,0.120083,0.0597487,0.0816553
0.0217548,0.0192167,-0.00771923,0.116428,0.0534512,0.0826429
0.0177291,0.0191857,-0.00771923,0.010455,0.1229,0.144959
0.0177293,0.0196867,-0.00771923,0.0100301,0.112889,0.135308
0.017733,0.020193,-0.00771923,0.00823,0.0995248,0.12197
0.0172292,0.0202023,-0.00771923,-0.0160017,0.0938475,0.11758
0.0202529,0.0197149,-0.00771923,0.102921,0.0692399,0.0933478
0.0207533,0.0197194,-0.00771923,0.105137,0.0583918,0.0892113
0.0207465,0.0192034,-0.00771923,0.122445,0.0707315,0.0838169
0.0202457,0.0192,-0.00771923,0.118764,0.0818898,0.0879775
0.0222631,0.0187151,-0.00771923,0.124804,0.0562225,0.0806865
0.0237709,0.0172136,-0.00771923,0.128266,0.0611796,0.0762603
0.0227695,0.0182203,-0.00771923,0.128348,0.0594651,0.0801986
0.0222545,0.0182038,-0.00771923,0.138714,0.0703882,0.0770858
0.0222474,0.017695,-0.00771923,0.150878,0.0849318,0.074629
0.0227571,0.0177044,-0.00771923,0.141081,0.0698652,0.0795824
0.0232739,0.0177178,-0.00771923,0.124126,0.0533854,0.07901
0.0232577,0.0172029,-0.00771923,0.138497,0.064004,0.0773414
0.022748,0.0171949,-0.00771923,0.150992,0.0788486,0.0763514
0.0222432,0.0171905,-0.00771923,0.16015,0.0953239,0.071491
0.0222396,0.0166867,-0.00771923,0.172459,0.106663,0.0698234
0.0227424,0.0166889,-0.00771923,0.163168,0.0914614,0.0729479
0.0232483,0.0166932,-0.00771923,0.154381,0.078703,0.0756249
0.0247756,0.0157027,-0.00771923,0.156792,0.106967,0.0763379
0.0247639,0.0151971,-0.00771923,0.166269,0.113954,0.077039
0.0242757,0.0167082,-0.00771923,0.133117,0.0745878,0.0740099
0.0242665,0.0162017,-0.00771923,0.153615,0.0922753,0.0739174
0.0242588,0.015696,-0.00771923,0.171677,0.106442,0.0745152
0.0242531,0.0151931,-0.00771923,0.183365,0.115341,0.0740455
0.0237445,0.015188,-0.00771923,0.198805,0.118641,0.0723042
0.0237418,0.0146864,-0.00771923,0.207283,0.125157,0.0733464
0.0242475,0.01469,-0.00771923,0.18921,0.120614,0.0745572
0.0237469,0.0156895,-0.00771923,0.183633,0.107518,0.072649
0.023751,0.0161932,-0.00771923,0.16599,0.0925077,0.0742122
0.0237579,0.0166996,-0.00771923,0.147786,0.0765874,0.0767201
0.0232442,0.0161892,-0.00771923,0.170968,0.0946597,0.0718797
