Quality,U_0,U_1,U_2
4.85340789797e-08,-0.0835940092802,0.155324593186,0.119862735271
5.09016134208e-08,-0.0835940092802,0.155324593186,0.119862735271
9.79193228237e-08,-0.0835940092802,0.155324593186,0.119862735271
4.41330300811e-08,-0.0835940092802,0.155324593186,0.119862735271
6.14556935463e-08,-0.0835940092802,0.155324593186,0.119862735271
9.50513440613e-08,-0.0835940092802,0.155324593186,0.119862735271
9.39894243181e-08,-0.0835940092802,0.155324593186,0.119862735271
9.1741605741e-08,-0.0835940092802,0.155324593186,0.119862735271
3.04211312807e-08,-0.0835940092802,0.155324593186,0.119862735271
3.24138503018e-08,-0.0835940092802,0.155324593186,0.119862735271
7.3292979498e-10,-0.0835940092802,0.155324593186,0.119862735271
8.01723411721e-08,-0.0835940092802,0.155324593186,0.119862735271
1.21567950821e-07,-0.0835940092802,0.155324593186,0.119862735271
9.22934547069e-08,-0.0835940092802,0.155324593186,0.119862735271
2.22359486501e-08,-0.0835940092802,0.155324593186,0.119862735271
7.08349302807e-08,-0.0835940092802,0.155324593186,0.119862735271
9.18506886695e-09,-0.0835940092802,0.155324593186,0.119862735271
2.89637237805e-12,-0.00171108799987,0.076349645853,0.105433776975
2.63573711468e-12,-0.00171108799987,0.076349645853,0.105433776975
9.53982262283e-09,-0.0531348958611,0.0694522112608,0.0697806403041
8.7020234768e-13,-0.0531348958611,0.0694522112608,0.0697806403041
6.83474692207e-09,-0.0413705706596,0.123958751559,0.0698231309652
3.35744802533e-09,-0.0413705706596,0.123958751559,0.0698231309652
3.38275309673e-09,-0.0630146339536,0.0639712885022,0.0890730842948
1.13303273812e-08,-0.0630146339536,0.0639712885022,0.0890730842948
6.5471596894e-11,-0.0859481170774,0.156653776765,0.114577628672
1.2325884341e-09,-0.0859481170774,0.156653776765,0.114577628672
1.24017306494e-09,-0.0859481170774,0.156653776765,0.114577628672
5.3594088039e-08,-0.0859481170774,0.156653776765,0.114577628672
1.1484790027e-08,-0.0859481170774,0.156653776765,0.114577628672
1.78693866058e-08,-0.0859481170774,0.156653776765,0.114577628672
5.68984671306e-08,-0.0859481170774,0.156653776765,0.114577628672
1.27744400821e-09,-0.0884694606066,0.167781531811,0.107076510787
1.61600254515e-08,-0.0884694606066,0.167781531811,0.107076510787
5.01114976173e-08,-0.0884694606066,0.167781531811,0.107076510787
4.51480058269e-08,-0.0884694606066,0.167781531811,0.107076510787
8.74254987415e-09,-0.0884694606066,0.167781531811,0.107076510787
1.28652795535e-09,-0.0884694606066,0.167781531811,0.107076510787
6.09166295532e-09,-0.0884694606066,0.167781531811,0.107076510787
3.99951198184e-08,-0.0907436907291,0.16872023046,0.111591480672
3.63498534372e-08,-0.0907436907291,0.16872023046,0.111591480672
9.05805512428e-08,-0.0907436907291,0.16872023046,0.111591480672
3.79702705883e-08,-0.0907436907291,0.16872023046,0.111591480672
1.05338095328e-07,-0.0907436907291,0.16872023046,0.111591480672
5.05840118837e-08,-0.0907436907291,0.16872023046,0.111591480672
1.54560646614e-07,-0.0907436907291,0.16872023046,0.111591480672
2.29126954059e-08,-0.0907436907291,0.16872023046,0.111591480672
1.0347013725e-07,-0.0907436907291,0.16872023046,0.111591480672
8.96284240749e-09,-0.0907436907291,0.16872023046,0.111591480672
6.40711164124e-08,-0.0907436907291,0.16872023046,0.111591480672
2.27451542392e-08,-0.0907436907291,0.16872023046,0.111591480672
3.75872203084e-08,-0.0907436907291,0.16872023046,0.111591480672
3.85103382725e-08,-0.0907436907291,0.16872023046,0.111591480672
5.38286392153e-08,-0.0907436907291,0.16872023046,0.111591480672
2.72637556836e-08,-0.0907436907291,0.16872023046,0.111591480672
1.04505231767e-07,-0.0907436907291,0.16872023046,0.111591480672
2.29515246565e-08,-0.0907436907291,0.16872023046,0.111591480672
6.93120050903e-08,-0.0907436907291,0.16872023046,0.111591480672
2.25410844937e-08,-0.0907436907291,0.16872023046,0.111591480672
1.79383677426e-08,-0.101742066443,0.188735753298,0.171948507428
8.53781487488e-08,-0.101742066443,0.188735753298,0.171948507428
4.94892294228e-08,-0.101742066443,0.188735753298,0.171948507428
4.99279116852e-08,-0.101742066443,0.188735753298,0.171948507428
4.02412148343e-08,-0.101742066443,0.188735753298,0.171948507428
2.78816674661e-08,-0.101742066443,0.188735753298,0.171948507428
1.26557786959e-08,-0.101742066443,0.188735753298,0.171948507428
1.26703657809e-08,-0.101742066443,0.188735753298,0.171948507428
2.67785700281e-08,-0.101742066443,0.188735753298,0.171948507428
2.16170570333e-08,-0.101742066443,0.188735753298,0.171948507428
2.09115485934e-08,-0.101742066443,0.188735753298,0.171948507428
2.52694253421e-08,-0.101742066443,0.188735753298,0.171948507428
6.79195127102e-08,-0.101742066443,0.188735753298,0.171948507428
1.16442968948e-07,-0.101742066443,0.188735753298,0.171948507428
1.55405724053e-08,-0.101742066443,0.188735753298,0.171948507428
1.12269121291e-07,-0.101742066443,0.188735753298,0.171948507428
2.07948415605e-08,-0.101742066443,0.188735753298,0.171948507428
7.01353592911e-08,-0.101742066443,0.188735753298,0.171948507428
2.05083076858e-08,-0.101742066443,0.188735753298,0.171948507428
1.96808079573e-08,-0.101742066443,0.188735753298,0.171948507428
1.97805702738e-08,-0.101742066443,0.188735753298,0.171948507428
4.35523545388e-08,-0.112976081669,0.196981474757,0.14547817409
4.57323931797e-08,-0.112976081669,0.196981474757,0.14547817409
2.71283512928e-08,-0.112976081669,0.196981474757,0.14547817409
6.60158424887e-08,-0.112976081669,0.196981474757,0.14547817409
1.12740828957e-07,-0.112976081669,0.196981474757,0.14547817409
1.47088859113e-08,-0.112976081669,0.196981474757,0.14547817409
1.61832582422e-08,-0.112976081669,0.196981474757,0.14547817409
3.39412186447e-08,-0.112976081669,0.196981474757,0.14547817409
2.90310130675e-08,-0.112976081669,0.196981474757,0.14547817409
2.91548990523e-08,-0.112976081669,0.196981474757,0.14547817409
3.39309391886e-08,-0.112976081669,0.196981474757,0.14547817409
1.56822662824e-08,-0.112976081669,0.196981474757,0.14547817409
2.32226713831e-08,-0.112976081669,0.196981474757,0.14547817409
2.32358661444e-08,-0.112976081669,0.196981474757,0.14547817409
1.08880032088e-07,-0.112976081669,0.196981474757,0.14547817409
2.15432145439e-08,-0.112976081669,0.196981474757,0.14547817409
6.93490540514e-08,-0.112976081669,0.196981474757,0.14547817409
2.09235307778e-08,-0.112976081669,0.196981474757,0.14547817409
3.41188558083e-08,-0.112976081669,0.196981474757,0.14547817409
7.51654973107e-08,-0.112976081669,0.196981474757,0.14547817409
1.00960080384e-07,-0.112976081669,0.196981474757,0.14547817409
1.02700545186e-08,-0.112976081669,0.196981474757,0.14547817409
1.6088964102e-08,-0.103655345738,0.195520371199,0.207784190774
8.0046524957e-08,-0.103655345738,0.195520371199,0.207784190774
4.92486252439e-08,-0.103655345738,0.195520371199,0.207784190774
4.9069422985e-08,-0.103655345738,0.195520371199,0.207784190774
3.86062460125e-08,-0.103655345738,0.195520371199,0.207784190774
2.6593112868e-08,-0.103655345738,0.195520371199,0.207784190774
1.22615002839e-08,-0.103655345738,0.195520371199,0.207784190774
1.23663917231e-08,-0.103655345738,0.195520371199,0.207784190774
2.7061289036e-08,-0.103655345738,0.195520371199,0.207784190774
2.01493164029e-08,-0.103655345738,0.195520371199,0.207784190774
2.00727904038e-08,-0.103655345738,0.195520371199,0.207784190774
1.9246623139e-08,-0.103655345738,0.195520371199,0.207784190774
1.93488072908e-08,-0.103655345738,0.195520371199,0.207784190774
2.36832110173e-08,-0.103655345738,0.195520371199,0.207784190774
6.53036619572e-08,-0.103655345738,0.195520371199,0.207784190774
1.12489787409e-07,-0.103655345738,0.195520371199,0.207784190774
1.55156240217e-08,-0.103655345738,0.195520371199,0.207784190774
1.08747127458e-07,-0.103655345738,0.195520371199,0.207784190774
2.01622855807e-08,-0.103655345738,0.195520371199,0.207784190774
6.74637601807e-08,-0.103655345738,0.195520371199,0.207784190774
2.00828917298e-08,-0.103655345738,0.195520371199,0.207784190774
2.00818301831e-09,-0.0553088411689,0.156583324075,0.124547965825
1.04006875939e-07,-0.0553088411689,0.156583324075,0.124547965825
7.79596432774e-08,-0.0553088411689,0.156583324075,0.124547965825
4.14961150632e-08,-0.0553088411689,0.156583324075,0.124547965825
1.20534392641e-07,-0.0553088411689,0.156583324075,0.124547965825
6.86776551869e-08,-0.0553088411689,0.156583324075,0.124547965825
7.11395269611e-08,-0.0553088411689,0.156583324075,0.124547965825
3.16066030952e-08,-0.0553088411689,0.156583324075,0.124547965825
5.44214200345e-08,-0.0553088411689,0.156583324075,0.124547965825
6.69021602284e-08,-0.0553088411689,0.156583324075,0.124547965825
6.89224292473e-08,-0.0553088411689,0.156583324075,0.124547965825
4.52517104595e-08,-0.0553088411689,0.156583324075,0.124547965825
3.07394821403e-11,-0.0553088411689,0.156583324075,0.124547965825
1.00334345577e-07,-0.0553088411689,0.156583324075,0.124547965825
2.18340138166e-08,-0.0553088411689,0.156583324075,0.124547965825
7.42770081431e-08,-0.0553088411689,0.156583324075,0.124547965825
1.50121568223e-08,-0.0553088411689,0.156583324075,0.124547965825
3.96947104544e-08,-0.0553088411689,0.156583324075,0.124547965825
4.26853256647e-08,-0.0553088411689,0.156583324075,0.124547965825
7.70217169384e-09,-0.0585571788251,0.142334267497,0.108304828405
2.32861792696e-09,-0.0585571788251,0.142334267497,0.108304828405
3.79772781348e-08,-0.0585571788251,0.142334267497,0.108304828405
1.34928098503e-08,-0.0585571788251,0.142334267497,0.108304828405
2.37984894985e-09,-0.0491073764861,0.140325635672,0.128374651074
8.78200776162e-09,-0.0491073764861,0.140325635672,0.128374651074
2.32575998911e-09,-0.0491073764861,0.140325635672,0.128374651074
1.72360703488e-09,-0.0491073764861,0.140325635672,0.128374651074
4.36342544388e-09,-0.0491073764861,0.140325635672,0.128374651074
1.42887751301e-08,-0.0491073764861,0.140325635672,0.128374651074
3.63250075731e-08,-0.0491073764861,0.140325635672,0.128374651074
4.79261968167e-08,-0.115079663694,0.208282142878,0.183090567589
4.04790447411e-08,-0.115079663694,0.208282142878,0.183090567589
1.32749097721e-08,-0.115079663694,0.208282142878,0.183090567589
2.88858647036e-08,-0.115079663694,0.208282142878,0.183090567589
2.40279745111e-08,-0.115079663694,0.208282142878,0.183090567589
6.34295784924e-08,-0.115079663694,0.208282142878,0.183090567589
1.13187620568e-07,-0.115079663694,0.208282142878,0.183090567589
1.53644246857e-08,-0.115079663694,0.208282142878,0.183090567589
2.22150278121e-08,-0.115079663694,0.208282142878,0.183090567589
2.22196354302e-08,-0.115079663694,0.208282142878,0.183090567589
2.02401494263e-08,-0.115079663694,0.208282142878,0.183090567589
2.03060450382e-08,-0.115079663694,0.208282142878,0.183090567589
2.8284481193e-08,-0.115079663694,0.208282142878,0.183090567589
1.3067068266e-08,-0.115079663694,0.208282142878,0.183090567589
2.63264827733e-08,-0.115079663694,0.208282142878,0.183090567589
6.77865969381e-08,-0.115079663694,0.208282142878,0.183090567589
1.09725914495e-07,-0.115079663694,0.208282142878,0.183090567589
1.41085964023e-08,-0.115079663694,0.208282142878,0.183090567589
1.0822427737e-07,-0.115079663694,0.208282142878,0.183090567589
2.04774015643e-08,-0.115079663694,0.208282142878,0.183090567589
6.75036145297e-08,-0.115079663694,0.208282142878,0.183090567589
2.0248761742e-08,-0.115079663694,0.208282142878,0.183090567589
1.79076318409e-08,-0.110121801496,0.190596923232,0.130624264479
6.43150066901e-08,-0.110121801496,0.190596923232,0.130624264479
2.73677325437e-08,-0.110121801496,0.190596923232,0.130624264479
9.72718292788e-08,-0.110121801496,0.190596923232,0.130624264479
4.52793226923e-08,-0.110121801496,0.190596923232,0.130624264479
4.40649909478e-08,-0.110121801496,0.190596923232,0.130624264479
3.65714274784e-08,-0.110121801496,0.190596923232,0.130624264479
6.20000870574e-08,-0.110121801496,0.190596923232,0.130624264479
1.10895478937e-07,-0.110121801496,0.190596923232,0.130624264479
9.800585829e-09,-0.110121801496,0.190596923232,0.130624264479
2.8513250214e-08,-0.110121801496,0.190596923232,0.130624264479
2.88048422406e-08,-0.110121801496,0.190596923232,0.130624264479
2.12786051244e-08,-0.110121801496,0.190596923232,0.130624264479
4.71655712438e-08,-0.110121801496,0.190596923232,0.130624264479
5.30491036637e-08,-0.110121801496,0.190596923232,0.130624264479
5.51833637796e-08,-0.110121801496,0.190596923232,0.130624264479
4.25075367093e-08,-0.110121801496,0.190596923232,0.130624264479
2.01245165185e-08,-0.110121801496,0.190596923232,0.130624264479
1.07347289202e-07,-0.110121801496,0.190596923232,0.130624264479
2.23601109798e-08,-0.110121801496,0.190596923232,0.130624264479
6.95633234557e-08,-0.110121801496,0.190596923232,0.130624264479
2.12770848284e-08,-0.110121801496,0.190596923232,0.130624264479
4.41060870821e-08,-0.0978397428989,0.198688998818,0.142299443483
4.44734384476e-08,-0.0978397428989,0.198688998818,0.142299443483
2.88424558516e-08,-0.0978397428989,0.198688998818,0.142299443483
2.95134694938e-08,-0.0978397428989,0.198688998818,0.142299443483
1.72698445735e-08,-0.0978397428989,0.198688998818,0.142299443483
3.83876315891e-08,-0.0978397428989,0.198688998818,0.142299443483
1.08978445074e-07,-0.0978397428989,0.198688998818,0.142299443483
2.04301375158e-08,-0.0978397428989,0.198688998818,0.142299443483
6.69790294772e-08,-0.0978397428989,0.198688998818,0.142299443483
2.13144738612e-08,-0.0978397428989,0.198688998818,0.142299443483
2.44337004813e-08,-0.0978397428989,0.198688998818,0.142299443483
2.46141397351e-08,-0.0978397428989,0.198688998818,0.142299443483
3.50929059145e-08,-0.0978397428989,0.198688998818,0.142299443483
1.62274239497e-08,-0.0978397428989,0.198688998818,0.142299443483
3.44002011304e-08,-0.0978397428989,0.198688998818,0.142299443483
7.1937957211e-08,-0.0978397428989,0.198688998818,0.142299443483
1.0127627572e-07,-0.0978397428989,0.198688998818,0.142299443483
1.08300547592e-08,-0.0978397428989,0.198688998818,0.142299443483
1.06905707388e-07,-0.0978397428989,0.198688998818,0.142299443483
2.12929358503e-08,-0.0978397428989,0.198688998818,0.142299443483
6.87437860854e-08,-0.0978397428989,0.198688998818,0.142299443483
2.09821650471e-08,-0.0978397428989,0.198688998818,0.142299443483
1.38733192833e-08,-0.113083258271,0.207500338554,0.154980272055
2.20932165462e-08,-0.113083258271,0.207500338554,0.154980272055
2.22020188206e-08,-0.113083258271,0.207500338554,0.154980272055
7.49985983248e-08,-0.113083258271,0.207500338554,0.154980272055
5.28521119578e-08,-0.113083258271,0.207500338554,0.154980272055
4.57878761642e-08,-0.113083258271,0.207500338554,0.154980272055
4.30502301949e-08,-0.113083258271,0.207500338554,0.154980272055
7.23178853763e-08,-0.113083258271,0.207500338554,0.154980272055
5.71447178032e-08,-0.113083258271,0.207500338554,0.154980272055
4.73439717586e-08,-0.113083258271,0.207500338554,0.154980272055
3.94380047699e-08,-0.113083258271,0.207500338554,0.154980272055
2.56179510088e-08,-0.113083258271,0.207500338554,0.154980272055
2.57783382852e-08,-0.113083258271,0.207500338554,0.154980272055
3.11472740759e-08,-0.113083258271,0.207500338554,0.154980272055
1.44608090745e-08,-0.113083258271,0.207500338554,0.154980272055
1.50060865678e-08,-0.113083258271,0.207500338554,0.154980272055
3.29058818561e-08,-0.113083258271,0.207500338554,0.154980272055
1.0763696817e-07,-0.113083258271,0.207500338554,0.154980272055
2.09123379221e-08,-0.113083258271,0.207500338554,0.154980272055
