Points_0,Points_1,Points_2,U_0,U_1,U_2
0.024482,0.0168385,-0.00771923,0.171069,0.100985,0.0924381
0.0249031,0.0163237,-0.00771923,0.177411,0.0661554,0.0877482
0.025951,0.0146951,-0.00771923,0.146693,0.00933848,0.0993413
0.0255941,0.0147229,-0.00771923,0.17893,0.0286189,0.0923572
0.0255332,0.0152502,-0.00771923,0.156841,0.0177997,0.0691075
0.0197365,0.0205139,-0.00771923,0.0270601,0.184048,0.0838742
0.0197024,0.0208633,-0.00771923,0.00840688,0.13664,0.0971649
0.019232,0.0208191,-0.00771923,0.0148151,0.174149,0.0815828
0.0219132,0.019952,-0.00771923,0.0726121,0.164202,0.141214
0.0216288,0.0199171,-0.00771923,0.071296,0.181141,0.122719
0.022021,0.0200676,-0.00771923,0.0871177,0.174689,0.175369
0.0213867,0.0198838,-0.00771923,0.067472,0.18999,0.0988386
0.0208356,0.0204616,-0.00771923,0.0380032,0.173296,0.0716706
0.0208254,0.0205967,-0.00771923,0.0346192,0.169444,0.0795697
0.0202646,0.0204584,-0.00771923,0.019033,0.157076,0.0662509
0.0246274,0.0176065,-0.00771923,0.124381,0.0685387,0.117151
0.0245185,0.0179331,-0.00771923,0.130504,0.0970377,0.114065
0.024534,0.0175184,-0.00771923,0.13573,0.0847604,0.0976776
0.0242353,0.0181676,-0.00771923,0.180493,0.150196,0.157368
0.0241,0.0184358,-0.00771923,0.128299,0.1055,0.104054
0.0243924,0.0180748,-0.00771923,0.15622,0.125711,0.13639
0.0240959,0.0184499,-0.00771923,0.127699,0.105417,0.103666
0.024101,0.0184473,-0.00771923,0.127853,0.105185,0.103172
0.0223745,0.0194722,-0.00771923,0.0702918,0.142251,0.0838572
0.0256726,0.0158065,-0.00771923,0.158432,0.022584,0.0755932
0.0255395,0.0158133,-0.00771923,0.161657,0.026316,0.0688002
0.0249028,0.016291,-0.00771923,0.17879,0.0654112,0.0876713
0.0218647,0.019428,-0.00771923,0.0922806,0.199979,0.102265
0.0218946,0.0197319,-0.00771923,0.0839208,0.183849,0.130591
0.0187176,0.0208356,-0.00771923,0.00673644,0.170333,0.0905949
0.0182464,0.0208111,-0.00771923,0.00113156,0.190246,0.0836571
0.0182245,0.0208628,-0.00771923,0.00135379,0.185079,0.0837134
0.0191954,0.0208177,-0.00771923,0.0146526,0.175304,0.0810067
0.0192125,0.0208178,-0.00771923,0.0148532,0.175319,0.0804891
0.017732,0.0208348,-0.00771923,-0.0055285,0.179506,0.0906645
0.0172468,0.0208159,-0.00771923,-0.0144245,0.187711,0.0853496
0.0182034,0.0208111,-0.00771923,0.000574865,0.190924,0.0835961
0.019743,0.0204055,-0.00771923,0.0302375,0.195064,0.0757399
0.0172382,0.0208159,-0.00771923,-0.014537,0.187779,0.0851548
